,159850_amont,159960_amont,161831_amont,510900_amont,159823_amont,159954_amont,160717_amont,etfs_amont,index_amt,etf_chg_amt_pct,etf_chg_amt_pct_lag1
2021-02-24,-16728000.0,0.0,-2902566.404,0.0,0.0,-1050000.0,-97196.094,-20777762.498,6187042456.613036,-0.00027347776842418816,-0.00015576011939598825
2021-02-25,0.0,0.0,-1985464.383,0.0,-4649400.0,-1073000.0,-17180.0,-7725044.382999999,4098797268.885394,-0.00012081771730081958,-0.00027347776842418816
2021-02-26,-10648000.0,1069000.0,-1564538.8499999999,-304500000.0,-7704000.0,5185000.0,-1060366.8029999998,-319222905.653,5586900441.921133,-0.004002652657898574,-0.00012081771730081958
2021-03-01,0.0,2156000.0,-5552575.664,-123000000.0,0.0,-5245000.0,-1754889.3159999999,-133396464.98,3950819507.7444515,-0.0027733582494191326,-0.004002652657898574
2021-03-02,-5862000.0,2158000.0,0.0,0.0,0.0,1048000.0,-2191622.562,-4847622.562,3778920002.172738,-9.464415901486182e-05,-0.0027733582494191326
2021-03-03,-5970000.0,0.0,-1366039.3599999999,-126552999.99999999,0.0,-6402000.0,-19333.584,-140310372.94399998,3272325342.7332296,-0.0025798647082721864,-9.464415901486182e-05
2021-03-04,-10681000.0,0.0,-1097403.852,0.0,0.0,-1046000.0,-551419.6479999999,-13375823.5,3959621596.851468,-0.00023047433120578867,-0.0025798647082721864
2021-03-05,-7792000.0,3222000.0,-4947378.955,0.0,-643800.0,1048000.0,-1063343.71,-10176522.665,4412111583.436205,-0.00015496360361066025,-0.00023047433120578867
2021-03-08,-956000.0,-1055000.0,-193997.0,0.0,-3159000.0,7196000.0,-17417.4,1814585.6,5409010345.407798,2.654272093117514e-05,-0.00015496360361066025
2021-03-09,0.0,0.0,-799391.712,0.0,0.0,3036000.0,-116601.70800000001,2120006.5799999996,5505717389.301122,2.857177551099525e-05,2.654272093117514e-05
2021-03-10,0.0,0.0,-2731955.148,-71580000.0,0.0,4064000.0,0.0,-70247955.148,3555873835.515576,-0.0015416688775363265,2.857177551099525e-05
2021-03-11,0.0,-2140000.0,-2184793.3219999997,0.0,-643200.0,0.0,-248400.0,-5216393.322,4018599916.360849,-0.00010068811937604389,-0.0015416688775363265
2021-03-12,0.0,-2148000.0,-233280.19199999998,-122600000.0,0.0,0.0,0.0,-124981280.192,4408405687.015818,-0.002093984745098059,-0.00010068811937604389
