,513260_amont,159740_amont,513010_amont,513180_amont,513380_amont,513580_amont,513130_amont,159741_amont,513890_amont,159742_amont,etfs_amont,index_amt,etf_chg_amt_pct,etf_chg_amt_pct_lag1
2022-01-11,,685000.0,0.0,13779999.999999998,,0.0,0.0,0.0,,0.0,14464999.999999998,1793762207.5748572,0.0011990808475286652,0.00010837070514580688
2022-01-12,,716000.0,0.0,0.0,,0.0,0.0,0.0,,0.0,716000.0,3194027880.7126136,3.440195287404904e-05,0.0011990808475286652
2022-01-13,,0.0,0.0,0.0,,0.0,0.0,-6291000.0,,0.0,-6291000.0,2118352916.4390938,-0.00046204358680485577,3.440195287404904e-05
2022-01-14,,702000.0,0.0,0.0,,0.0,7020000.0,0.0,,0.0,7722000.0,1954120624.12215,0.000652940033584744,-0.00046204358680485577
2022-01-17,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,1400280957.936796,0.0,0.000652940033584744
2022-01-18,,699000.0,0.0,0.0,,0.0,0.0,0.0,,0.0,699000.0,1990373713.8531787,5.364421327451251e-05,0.0
2022-01-19,,692000.0,0.0,0.0,,0.0,22112000.0,0.0,,0.0,22804000.0,1866416307.899951,0.0018667369917853538,5.364421327451251e-05
2022-01-20,,718000.0,0.0,0.0,,0.0,0.0,0.0,,0.0,718000.0,3469930270.383966,3.904247488682288e-05,0.0018667369917853538
2022-01-21,,0.0,0.0,0.0,,0.0,0.0,0.0,1018000.0,0.0,1018000.0,3093305297.960516,6.521701079333585e-05,3.904247488682288e-05
2022-01-24,,0.0,0.0,3520000.0,,0.0,10500000.0,0.0,994000.0,0.0,15014000.0,2211381720.0140567,0.0012635324835644098,6.521701079333585e-05
2022-01-25,,0.0,0.0,75702000.0,,0.0,-5424000.0,0.0,0.0,0.0,70278000.0,2598312086.193187,0.004597251503493983,0.0012635324835644098
2022-01-26,,0.0,0.0,13759999.999999998,,0.0,0.0,2708000.0,0.0,0.0,16467999.999999998,2290912058.086916,0.0012363469094260776,0.004597251503493983
2022-01-27,,0.0,0.0,341880000.0,,3942000.0,1968000.0,0.0,0.0,0.0,347790000.0,2718397801.8697066,0.024025727150055826,0.0012363469094260776
2022-01-28,,7216000.0,0.0,57246000.0,,0.0,1306000.0,0.0,0.0,0.0,65768000.0,1996020848.5276408,0.004479931666827819,0.024025727150055826
2022-02-07,,9422000.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,9422000.0,1974707262.7373068,0.0007517069499254953,0.004479931666827819
2022-02-08,,2013000.0000000002,0.0,67300000.0,,1342000.0,16700000.000000002,0.0,0.0,0.0,87355000.0,1911954859.47622,0.007694529506600078,0.0007517069499254953
2022-02-09,,691000.0,0.0,2081999.9999999998,,0.0,0.0,1368000.0,0.0,1394000.0,5535000.0,2503157819.7149243,0.0003821619887483119,0.007694529506600078
2022-02-10,,1388000.0,0.0,13899999.999999998,,0.0,0.0,0.0,0.0,1394000.0,16681999.999999998,2016390370.1927125,0.0011560281561452754,0.0003821619887483119
2022-02-11,,683000.0,0.0,56855000.00000001,,2055000.0000000002,0.0,0.0,0.0,0.0,59593000.00000001,1767169260.435828,0.004579545558639111,0.0011560281561452754
2022-02-14,,0.0,0.0,38760000.0,,0.0,3375000.0,0.0,0.0,0.0,42135000.0,1496878694.8077977,0.004051872678410043,0.004579545558639111
2022-02-15,,0.0,0.0,173056000.0,,0.0,53760000.0,0.0,0.0,2708000.0,229524000.0,1334155261.6104336,0.02796978555578311,0.004051872678410043
2022-02-16,,0.0,0.0,0.0,,0.0,6810000.000000001,0.0,0.0,688000.0,7498000.000000001,1413613536.6500216,0.0007135793208691246,0.02796978555578311
2022-02-17,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1424199647.5778885,0.0,0.0007135793208691246
2022-02-18,,0.0,0.0,6147000.0,,0.0,0.0,0.0,0.0,0.0,6147000.0,3084713611.2753825,0.0005610763455751993,0.0
