,513330_amont,159688_amont,etfs_amont,index_amt,etf_chg_amt_pct,etf_chg_amt_pct_lag1
2022-04-25,16080000.000000002,,16080000.000000002,2783777967.244147,0.001178227826683439,0.0007302791969787591
2022-04-26,1664000.0,,1664000.0,2934802845.954728,0.00012184741252289916,0.001178227826683439
2022-04-27,77350000.0,,77350000.0,2994197498.3321295,0.005490648814635696,0.00012184741252289916
2022-04-28,46656000.0,,46656000.0,2361423487.613912,0.0045234936620680115,0.005490648814635696
2022-04-29,40850000.0,,40850000.0,6695253814.642653,0.001865112115954036,0.0045234936620680115
2022-05-05,79050000.0,,79050000.0,2883360065.4007645,0.006767660372319441,0.001865112115954036
2022-05-06,46746000.0,,46746000.0,3028541078.671008,0.003376056253607508,0.006767660372319441
2022-05-10,92880000.0,,92880000.0,3949905736.2050767,0.004704098123568173,0.003376056253607508
2022-05-11,70400000.0,,70400000.0,3826412153.4832773,0.003444424787392488,0.004704098123568173
2022-05-12,294804000.0,,294804000.0,3553519705.9010077,0.01719455141767338,0.003444424787392488
2022-05-13,107520000.0,,107520000.0,3315100770.2529464,0.006607686019913424,0.01719455141767338
2022-05-16,44900000.0,,44900000.0,2408772723.823221,0.004131410920042236,0.006607686019913424
2022-05-17,47300000.0,,47300000.0,4046882746.6004653,0.0027091155279085465,0.004131410920042236
2022-05-18,46800000.0,,46800000.0,3341848830.4258795,0.0033979811741863108,0.0027091155279085465
2022-05-19,45600000.0,,45600000.0,4681106086.296188,0.0032099719142358184,0.0033979811741863108
2022-05-20,46900000.0,,46900000.0,3113506347.235307,0.003121806149176624,0.0032099719142358184
2022-05-23,46000000.0,,46000000.0,2725820383.4277315,0.003573046412472673,0.003121806149176624
2022-05-24,44200000.0,,44200000.0,2763347806.390343,0.0031778731758249756,0.003573046412472673
2022-05-25,44700000.0,,44700000.0,2530868540.4912004,0.003481582141135885,0.0031778731758249756
2022-05-26,44700000.0,,44700000.0,2212267423.4485846,0.0037260537528244343,0.003481582141135885
2022-05-27,4620000.0,,4620000.0,3512451909.660158,0.00033701220615028166,0.0037260537528244343
2022-05-30,-950000.0,,-950000.0,3616159240.3567653,-5.823918538166884e-05,0.00033701220615028166
2022-05-31,4900000.0,,4900000.0,7663981019.406752,0.00015416597815899006,-5.823918538166884e-05
2022-06-01,4880000.0,,4880000.0,3317598404.0939946,0.0003282858559203749,0.00015416597815899006
2022-06-02,4870000.0,,4870000.0,2557513756.8289948,0.00033311775919303376,0.0003282858559203749
2022-06-06,4990000.0,,4990000.0,4339701487.648822,0.0002548865462552489,0.00033311775919303376
2022-06-07,5100000.0,,5100000.0,4363821317.449383,0.00025661565764742986,0.0002548865462552489
2022-06-08,5320000.0,,5320000.0,6885305286.798776,0.0001909335369946473,0.00025661565764742986
2022-06-09,5240000.0,,5240000.0,6084324601.646683,0.00021506575498732517,0.0001909335369946473
2022-06-10,5370000.0,,5370000.0,6553745332.08479,0.0001501593388750446,0.00021506575498732517
2022-06-13,5190000.0,,5190000.0,4681791372.5948305,0.0002201869799390902,0.0001501593388750446
2022-06-14,5190000.0,,5190000.0,3660130775.545886,0.0002675633913190847,0.0002201869799390902
2022-06-15,5230000.0,,5230000.0,3473497908.6747165,0.0003930485010015914,0.0002675633913190847
2022-06-16,5060000.0,,5060000.0,3859096341.846097,0.00023259113536828457,0.0003930485010015914
2022-06-17,5150000.0,,5150000.0,5941417291.308038,0.00020972109670700854,0.00023259113536828457
