,159920_amont,513660_amont,160924_amont,501302_amont,164705_amont,513600_amont,etfs_amont,index_amt,etf_chg_amt_pct,etf_chg_amt_pct_lag1
2018-03-01,,,-105.4,,97557.90000000001,,97452.50000000001,2618236393.680773,2.964865754732389e-06,6.171714947281776e-06
2018-03-02,,,,,-401988.0,,-401988.0,2959854993.670488,-1.0510312622654461e-05,2.964865754732389e-06
2018-03-05,,,-104.89999999999999,,-314041.0,,-314145.9,2556604897.0810733,-8.947840122656422e-06,-1.0510312622654461e-05
2018-03-06,,,-103.69999999999999,,-1773766.5080000001,,-1773870.208,2421756129.4160705,-6.046009594766041e-05,-8.947840122656422e-06
2018-03-07,,,0.0,,35760.4,,35760.4,2141766021.6666563,1.1910010359277736e-06,-6.046009594766041e-05
2018-03-08,,,0.0,,-1086.3,,-1086.3,1793518975.4493842,-5.017419554956239e-08,1.1910010359277736e-06
2018-03-09,,,993.8839999999999,,-154561.8,,-153567.916,1500565442.1543734,-6.893680697208983e-06,-5.017419554956239e-08
2018-03-12,,,1006.158,,689649.702,,690655.8600000001,2674046515.8667936,2.2123736078884735e-05,-6.893680697208983e-06
2018-03-13,,,461.65200000000004,,256031.55500000002,,256493.20700000002,2154582281.6030426,9.389945180926027e-06,2.2123736078884735e-05
2018-03-14,,,-9487.554999999998,,-542293.792,,-551781.3470000001,2091484754.454693,-2.3171327669563414e-05,9.389945180926027e-06
2018-03-15,,,,,635768.046,,635768.046,2291541474.8280983,2.7752196699424738e-05,-2.3171327669563414e-05
2018-03-16,,,-4134.0,,-749778.4,,-753912.4,2720635436.728234,-2.1844899527352415e-05,2.7752196699424738e-05
2018-03-19,,,-1474.1999999999998,,-48796.044,,-50270.244,1876327065.8943868,-2.4080083725763495e-06,-2.1844899527352415e-05
2018-03-20,,,,,-330627.5,,-330627.5,2292153844.182178,-1.2908133642612316e-05,-2.4080083725763495e-06
2018-03-21,,,0.0,,-656488.5,,-656488.5,3118910557.7766404,-2.0669049720737355e-05,-1.2908133642612316e-05
2018-03-22,,,-4910.455,,,,-4910.455,4589009811.2534075,-1.6362617317163043e-07,-2.0669049720737355e-05
2018-03-23,,,-2743.16,,-494774.0,,-497517.16,14513852241.77059,-1.0455486131542604e-05,-1.6362617317163043e-07
2018-03-26,,,0.0,,-936530.0,,-936530.0,3438918602.0156236,-3.206965595087261e-05,-1.0455486131542604e-05
2018-03-27,,,,,867919.726,,867919.726,3173691889.166787,3.275734643803252e-05,-3.206965595087261e-05
2018-03-28,,,,,149802.4,,149802.4,3495771294.9703317,4.792303303662841e-06,3.275734643803252e-05
2018-03-29,,,,,-307928.922,,-307928.922,3022172632.715211,-1.030813845682288e-05,4.792303303662841e-06
2018-04-03,,,0.0,,81292.79999999999,,81292.79999999999,2542038639.563018,2.696418868702712e-06,-1.030813845682288e-05
2018-04-04,,,,,475135.99999999994,,475135.99999999994,2503083335.8205185,1.6783359711801105e-05,2.696418868702712e-06
2018-04-09,,,0.0,,178711.0,,178711.0,2056659216.8885758,5.76402953128899e-06,1.6783359711801105e-05
2018-04-10,,,0.0,,-170723.35199999998,,-170723.35199999998,2526272249.7874937,-5.8034629483108995e-06,5.76402953128899e-06
2018-04-11,,,,,1687737.1,,1687737.1,2527314472.962557,5.5697844557125805e-05,-5.8034629483108995e-06
2018-04-12,,,,,1342656.77,,1342656.77,1840597163.6259568,5.920138435415546e-05,5.5697844557125805e-05
2018-04-13,,,,,-2203797.016,,-2203797.016,1681456971.865296,-0.00010834172466575618,5.920138435415546e-05
2018-04-16,,,,,1827432.3599999999,,1827432.3599999999,2113656982.3891346,7.217242533621314e-05,-0.00010834172466575618
2018-04-17,,,0.0,,902229.0399999999,,902229.0399999999,2203415020.694038,3.379136541896976e-05,7.217242533621314e-05
2018-04-18,,,,,429498.20900000003,,429498.20900000003,2197698878.664882,1.716101005971417e-05,3.379136541896976e-05
2018-04-19,,,0.0,,-639489.056,,-639489.056,2074231414.5606637,-2.1806182909190385e-05,1.716101005971417e-05
2018-04-23,,,,,-969553.7699999999,,-969553.7699999999,1584832952.6236532,-4.561294986324248e-05,-2.1806182909190385e-05
2018-04-24,,,,,-36144.9,,-36144.9,1525032623.8957257,-1.58231864139369e-06,-4.561294986324248e-05
2018-04-25,,,,,910878.3999999999,,910878.3999999999,2145028982.9987783,4.193885818734695e-05,-1.58231864139369e-06
2018-04-26,,,,,-593895.1039999999,,-593895.1039999999,2463246368.6123996,-2.302522462603794e-05,4.193885818734695e-05
2018-04-27,,,,,-207590.694,,-207590.694,2222274762.420041,-9.68152043046213e-06,-2.302522462603794e-05
2018-05-02,,,,,329745.2,,329745.2,1713253687.1129544,1.3294202728947055e-05,-9.68152043046213e-06
2018-05-03,,,,,1663892.6039999998,,1663892.6039999998,1909671423.1763408,7.018154257641378e-05,1.3294202728947055e-05
2018-05-04,,,,,1300526.64,,1300526.64,2042098913.1572795,4.6197366707875056e-05,7.018154257641378e-05
2018-05-07,,,0.0,,12092.136,,12092.136,1995470494.8999715,6.385819312449608e-07,4.6197366707875056e-05
2018-05-08,,,,,610078.4,,610078.4,2136540094.4758093,2.858632027134112e-05,6.385819312449608e-07
2018-05-09,,,,,1287063.54,,1287063.54,1509014068.9087434,6.832259756932574e-05,2.858632027134112e-05
2018-05-10,,,,,1769211.115,,1769211.115,2032897406.6770656,8.272735802073705e-05,6.832259756932574e-05
2018-05-11,,,,,2811401.728,,2811401.728,1978122587.3497388,0.00011718737096979652,8.272735802073705e-05
2018-05-14,,,-1031.0,,-1208069.6160000002,,-1209100.6160000002,2004358153.8736908,-4.2863068390289884e-05,0.00011718737096979652
2018-05-15,,,-3098.9999999999995,,-234042.285,,-237141.285,2142673097.6713555,-1.1247482330411792e-05,-4.2863068390289884e-05
2018-05-16,,,,,-37288.392,,-37288.392,1926713412.3702219,-1.6308837461059111e-06,-1.1247482330411792e-05
2018-05-17,,,0.0,,90890.814,,90890.814,3492871353.2699294,4.299937599440203e-06,-1.6308837461059111e-06
2018-05-18,,,,,-2314784.08,,-2314784.08,1717388703.8364563,-0.00011213819131562797,4.299937599440203e-06
2018-05-21,,,,,-4022346.0,,-4022346.0,1729401104.7906103,-0.00017548216106133056,-0.00011213819131562797
2018-05-23,,,0.0,,-781155.0900000001,,-781155.0900000001,2271175211.644171,-2.43919140291092e-05,-0.00017548216106133056
2018-05-24,,,,,1556856.28,,1556856.28,1440238500.56928,7.86183965678898e-05,-2.43919140291092e-05
2018-05-25,,,,,2296774.81,,2296774.81,1453775860.571373,0.00011844708423495934,7.86183965678898e-05
2018-05-28,,,,,4231234.0,,4231234.0,1277763076.2372513,0.0002651679394930314,0.00011844708423495934
2018-05-29,,,,,5885170.2,,5885170.2,1323851492.5130901,0.00030147075953797643,0.0002651679394930314
2018-05-30,,,,,-549137.9,,-549137.9,2242899803.3090973,-1.6184783551023265e-05,0.00030147075953797643
2018-05-31,,,0.0,,717510.556,,717510.556,3453507373.514753,1.6806259833632317e-05,-1.6184783551023265e-05
2018-06-01,,,,,2117075.586,,2117075.586,2239215796.1708627,6.636555170622703e-05,1.6806259833632317e-05
2018-06-04,,,0.0,,-2911350.9250000003,,-2911350.9250000003,2375761749.3953094,-0.00012368214038341904,6.636555170622703e-05
2018-06-05,,,,,-1477769.016,,-1477769.016,2126572086.2996182,-6.502630488240782e-05,-0.00012368214038341904
2018-06-06,,,,,-1250353.415,,-1250353.415,1884337187.27205,-5.418582312176074e-05,-6.502630488240782e-05
2018-06-07,,,-446.479,,-623384.64,,-623831.1190000001,2314229747.24742,-2.165935351210664e-05,-5.418582312176074e-05
2018-06-08,,,0.0,,-479658.84,,-479658.84,2161466620.140983,-2.097495397386106e-05,-2.165935351210664e-05
2018-06-11,,,,,-1828555.704,,-1828555.704,1337470586.017319,-0.0001145815808048513,-2.097495397386106e-05
2018-06-12,,,,,166612.8,,166612.8,1230570781.5997834,9.441523386014013e-06,-0.0001145815808048513
2018-06-13,,,,,-898903.2,,-898903.2,1392030639.5424275,-4.3092952694672744e-05,9.441523386014013e-06
2018-06-14,,,,,-982432.1910000001,,-982432.1910000001,1901664072.4967368,-3.854737648451276e-05,-4.3092952694672744e-05
2018-06-15,,,,,-763975.599,,-763975.599,2258860114.4710994,-2.3399422342310153e-05,-3.854737648451276e-05
2018-06-19,,,-1818.0,,440643.4,,438825.4,3446151096.515699,8.516968193928558e-06,-2.3399422342310153e-05
2018-06-20,,,,,-325100.124,,-325100.124,2159637608.9255085,-1.1582906852219335e-05,8.516968193928558e-06
2018-06-21,,,,,392553.60000000003,,392553.60000000003,1963519665.7919135,1.5327679657921862e-05,-1.1582906852219335e-05
2018-06-22,,,0.0,,-461069.19999999995,,-461069.19999999995,1956696740.5657692,-1.8543730659733507e-05,1.5327679657921862e-05
2018-06-25,,,0.0,,-128905.2,,-128905.2,2141405616.31994,-4.520892030795058e-06,-1.8543730659733507e-05
2018-06-26,,,,,-2725879.035,,-2725879.035,2522775266.130599,-9.515032662529556e-05,-4.520892030795058e-06
2018-06-27,,,0.0,,44407.972,,44407.972,2425434063.2394075,1.5783428003807886e-06,-9.515032662529556e-05
2018-06-28,,,0.0,,-916533.6,,-916533.6,2495016953.992663,-2.9756965527743845e-05,1.5783428003807886e-06
2018-06-29,,,0.0,,-161293.6,,-161293.6,2347434871.3007445,-5.804602971650268e-06,-2.9756965527743845e-05
2018-07-03,,,,,-846034.776,,-846034.776,2802647423.8154716,-2.2191578978412798e-05,-5.804602971650268e-06
2018-07-04,,,0.0,,680474.3999999999,,680474.3999999999,1620585206.370884,3.2614737329399e-05,-2.2191578978412798e-05
2018-07-05,,,,,-409942.582,,-409942.582,1550722211.9684606,-1.8608744766654166e-05,3.2614737329399e-05
2018-07-06,,,0.0,,,,0.0,1766309837.2023015,0.0,-1.8608744766654166e-05
2018-07-09,,,0.0,,-59260.428,,-59260.428,1686118897.2582288,-2.8459165525158245e-06,0.0
2018-07-10,,,0.0,,-68435.2,,-68435.2,1916359541.7747889,-3.059763957920053e-06,-2.8459165525158245e-06
2018-07-11,,,,,-799195.9750000001,,-799195.9750000001,1853911315.519573,-3.632149406219472e-05,-3.059763957920053e-06
2018-07-12,,,,,-12280.0,,-12280.0,1477136232.3025706,-7.426163664867752e-07,-3.632149406219472e-05
2018-07-13,,,,,-226290.0,,-226290.0,1213242981.827622,-1.3019033821982738e-05,-7.426163664867752e-07
2018-07-18,,,,,17390.0,,17390.0,1232844694.0575848,9.575982776815508e-07,-1.3019033821982738e-05
2018-07-19,,,,,3763.2,,3763.2,1196173836.129993,2.029254694015012e-07,9.575982776815508e-07
2018-07-20,,,,,188676.6,,188676.6,1803276732.134985,8.20142761141478e-06,2.029254694015012e-07
2018-07-23,,,0.0,,-257558.4,,-257558.4,1611591460.739574,-1.5636554729316973e-05,8.20142761141478e-06
2018-07-24,,,,,245857.83599999998,,245857.83599999998,2088095273.862013,9.741532683940659e-06,-1.5636554729316973e-05
2018-07-25,,,,,958262.9519999999,,958262.9519999999,1586752727.3971379,4.7455179427676776e-05,9.741532683940659e-06
2018-07-26,,,,,615211.2,,615211.2,1580206858.1863177,3.403652727602758e-05,4.7455179427676776e-05
2018-07-27,,,,,-275755.518,,-275755.518,1124924677.8659952,-1.9781179955547645e-05,3.403652727602758e-05
2018-07-30,,,,,-167464.0,,-167464.0,1528296095.9461896,-1.0510844999581235e-05,-1.9781179955547645e-05
2018-07-31,,,0.0,,-65385.979999999996,,-65385.979999999996,2034782186.7575946,-3.5362508671093084e-06,-1.0510844999581235e-05
2018-08-01,,,0.0,,97265.19,,97265.19,1741106326.2507796,4.253664399393091e-06,-3.5362508671093084e-06
2018-08-02,,,2901.5009999999997,,-1280978.4,,-1278076.899,2450361066.188211,-4.9188205078053054e-05,4.253664399393091e-06
2018-08-03,,,0.0,,,,0.0,1927957597.9530005,0.0,-4.9188205078053054e-05
2018-08-06,,,,,-23223.3,,-23223.3,1636277442.0176857,-1.047061169953858e-06,0.0
2018-08-08,,,,,141122.356,,141122.356,1691669012.7955277,7.662166437993711e-06,-1.047061169953858e-06
2018-08-09,,,,,-2532299.596,,-2532299.596,1835457963.629252,-0.00012266583352018098,7.662166437993711e-06
2018-08-10,,,,,533328.3759999999,,533328.3759999999,1395418097.961695,2.8833668857789795e-05,-0.00012266583352018098
2018-08-13,,,,,-264180.0,,-264180.0,1387262540.8010538,-1.2796698876920442e-05,2.8833668857789795e-05
2018-08-14,,,0.0,,-25243.533000000003,,-25243.533000000003,2155223271.3676987,-1.1681532841000228e-06,-1.2796698876920442e-05
2018-08-15,,,,,0.0,,0.0,2283082224.96943,0.0,-1.1681532841000228e-06
2018-08-16,,,,,177255.0,,177255.0,3248999635.2373705,5.989987346236236e-06,0.0
2018-08-17,,,,,-116666.2,,-116666.2,2163964187.9571147,-5.304360364579842e-06,5.989987346236236e-06
